node_id,x_coord,y_coord
583,-111.92796,33.4174137
584,-111.9279607,33.4175886
585,-111.9279968,33.4187012
586,-111.9182799,33.4123049
587,-111.9176023,33.4118884
588,-111.9162827,33.4112033
589,-111.9161795,33.4114003
590,-111.91602,33.4111981
591,-111.9159564,33.4113072
592,-111.9157539,33.4111926
593,-111.9167901,33.4120939
594,-111.916395,33.4117391
595,-111.9160812,33.4115593
596,-111.9178867,33.412474
597,-111.9172628,33.4119743
598,-111.9174659,33.4119743
599,-111.9171707,33.4118709
600,-111.9172757,33.4118055
601,-111.917021,33.411817
602,-111.9169978,33.4117875
603,-111.9167769,33.4115131
604,-111.9168067,33.4113199
605,-111.9167353,33.4115075
606,-111.9167,33.4113192
607,-111.9170184,33.4115634
608,-111.9168073,33.4115297
609,-111.9174702,33.4115275
610,-111.9366517,33.4212922
611,-111.9366784,33.4212889
612,-111.9365757,33.4212303
613,-111.9365335,33.4212272
614,-111.9359643,33.4212277
615,-111.9359545,33.42088
616,-111.9174744,33.4095308
617,-111.9447312,33.4110216
618,-111.9447316,33.4113812
619,-111.9167566,33.4127349
620,-111.917487,33.4128913
621,-111.9447393,33.413184
622,-111.94474,33.4135476
623,-111.9447391,33.413904
624,-111.94477,33.4142288
625,-111.9289133,33.4201645
626,-111.9289287,33.4203474
627,-111.9357478,33.4195893
628,-111.9350743,33.4195934
629,-111.935564,33.4195915
630,-111.9355526,33.4187784
631,-111.935558,33.4189915
632,-111.9354571,33.4187782
633,-111.9350706,33.4189897
634,-111.935563,33.4195751
635,-111.9350724,33.4192357
636,-111.935559,33.4190965
637,-111.9352857,33.4193819
638,-111.9350693,33.4183845
639,-111.9330072,33.4202772
640,-111.9338057,33.4208117
641,-111.9340038,33.4208077
642,-111.9341858,33.4208077
643,-111.934181,33.4211569
644,-111.9338104,33.4211509
645,-111.9340041,33.4208817
646,-111.9339332,33.420954
647,-111.934004,33.4210017
648,-111.9340739,33.4209542
649,-111.9338077,33.4209593
650,-111.9341838,33.4209553
651,-111.9340017,33.421154
652,-111.9341867,33.4218195
653,-111.9338457,33.4211557
654,-111.9338497,33.4218207
655,-111.9333061,33.4218225
656,-111.933848,33.4216656
657,-111.9341893,33.4215705
658,-111.9344595,33.4214924
659,-111.9430687,33.4319859
660,-111.9350652,33.421917
661,-111.936756,33.4219096
662,-111.936563,33.4219081
663,-111.936662,33.4220574
664,-111.9214292,33.4202748
665,-111.9214315,33.4217747
666,-111.9216357,33.4203173
667,-111.9190747,33.4210761
668,-111.9192834,33.4220178
669,-111.9190777,33.4208887
670,-111.9193066,33.4217533
